"name","brand","price","mrp","imgLink","rating","totalRatings","totalReviews","web_url","resolution","display","speaker","operating_system","model_number","screen_size"
"Hitachi 109 cm (43 Inches) Android Smart Ultra HD 4K LED TV LD43VR (2020 Model, Black)","Hitachi","₹31994.00","₹45000.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000008505421_437Wx649H_202107292240571.jpeg",0,0,0,"https://www.tatacliq.com/hitachi-109-cm-43-inches-android-smart-ultra-hd-4k-led-tv-ld43vr-2020-model-black/p-mp000000008505421","Resolution: 3840 x 2160 pixels","Display Features : 320 Nits Brightness (Typical) | Wide Viewing Angle","Speaker Output: 20 W","Operating System: Android 7.0 Based Open Source Platform | Sensy UI","LD43VR",
"Samsung 108 cm (43 Inches) Smart Full HD LED TV UA43T5310AKXXL (Black)","Samsung","₹36879.00","₹38400.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000006745892_437Wx649H_202107292228131.jpeg",5,1,0,"https://www.tatacliq.com/samsung-108-cm-43-inches-smart-full-hd-led-tv-ua43t5310akxxl-black/p-mp000000006745892","Resolution: 1920 x 1080 pixels | Refresh Rate: 60Hz","Display Feature: PurColor | Ultra Clean View | Contrast Enhancer | Hyper Real Picture Engine | PQI (Picture Quality Index) : 1000 | HDR","Speaker Output : 20 W | Dolby Digital Plus","Operating System: Tizen| Live Cast | ConnectShare","UA43T5310AKXXL","Screen Size: 43 inch"
"Panasonic 164 cm (65 Inches) Android Smart 4K Ultra HD LED TV TX-65HX700 (Black)","Panasonic","₹92989.00","₹100990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000007974090_437Wx649H_202107292239021.jpeg",5,1,0,"https://www.tatacliq.com/panasonic-164-cm-65-inches-android-smart-4k-ultra-hd-led-tv-tx-65hx700-black/p-mp000000007974090","Resolution: 3840 x 2160 pixels","Display Features : Dolby Vision | HLG | HDR Brightness Enhancement Technology | 4K Color Engine","Speaker Output: 2X12 W | Various Sound Modes","Operating System: Android | Google Assistant Support | Built in Chromecast | Multi Window Display","TX-65HX700","Screen Size: 65 inch"
"Acer 108 cm (43 Inches) Android Smart Ultra HD 4K LED TV AR43AP2851UDFL (2021 Model, Black)","Acer","₹26999.00","₹34990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000011323504_437Wx649H_202112041307001.jpeg",0,0,0,"https://www.tatacliq.com/acer-108-cm-43-inches-android-smart-ultra-hd-4k-led-tv-ar43ap2851udfl-2021-model-black/p-mp000000011323504","Resolution : 3840 x 2160 Pixels | Refresh Rate : 60 Hz","Display Features : Wide Color Gamut+ | HDR10+ with HLG | UHD Upscaling | Super Brightness | Micro Dimming | Digital Noise Reduction","Speaker Output: 30 Watts Output | Soundbar tune with Pure Sound 2.0 | Powerful sound by Dolby Audio","Operating System: Android | Google Assistant | Chromecast built-in","AR43AP2851UDFL",
"Panasonic 105 cm (42 Inches) Android Smart Full HD LED TV TH-42JS650 (2021 Model, Black)","Panasonic","₹35867.00","₹42990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000009871233_437Wx649H_202107292233201.jpeg",0,0,0,"https://www.tatacliq.com/panasonic-105-cm-42-inches-android-smart-full-hd-led-tv-th-42js650-2021-model-black/p-mp000000009871233","Resolution: 1920 x 1080 Pixels   Refresh Rate: 60Hz","Display Features: Vivid Digital Pro   2K HDR   Noise Reduction","Sound Output: 20W   Audio Booster +","Operating System: Android   Google Assistant   Chromecast Built-in   2-way Audio Link (BT)","TH-42JS650","Screen Size: 32 inch"
"Croma 80 cm (32 Inches) HD Ready LED TV CREL7369 (2021 Model, Black)","Croma","₹15990.00","₹20000.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000008909819_437Wx649H_202107292241001.jpeg",1,1,0,"https://www.tatacliq.com/croma-80-cm-32-inches-hd-ready-led-tv-crel7369-2021-model-black/p-mp000000008909819","Resolution: 1920 x 1080 pixels   Refresh Rate: 60 Hz","Display Features : A+ Grade LED Panel   280 Nits Brightness   16.7M Colours Depth","Speaker Output : 20 Watts Powerful Speakers","HDMI : 2, USB : 2","CREL7369","Screen Size: 32 inch"
"Sony 139 cm (55 Inches) Android Smart 4K Ultra HD OLED TV Bravia XR-55A80J (2021 Model, Black)","Sony","₹180490.00","₹249900.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010002992_437Wx649H_202110131859221.jpeg",5,1,0,"https://www.tatacliq.com/sony-139-cm-55-inches-android-smart-4k-ultra-hd-oled-tv-bravia-xr-55a80j-2021-model-black/p-mp000000010002992","Resolution: 3840 x 2160 pixels  | Refresh Rate: 100Hz","Display Feature: Cognitive | Processor XR |HDR10 |HLG XR| 4K Upscaling |Live Colour Technology XR |Smoothing XR  |Triluminos Pro | XR Motion Clarity","Sound Output: 30W | Triple Speakers | Subwoofer |Dolby Audio | 3D Surround | Upscaling DTS Digital Surround | Dolby Atmos","Operating System: Android Chromecast  | Built-in Voice Search | Google TV Work with Google Assistant and Alexa Works with Apple AirPlay","XR-55A80J","Screen Size: 55 inch"
"Candes 101 cm (40 Inches) Android Smart Full HD LED TV CTPL40E1S (2021 Model, Black)","Candes","₹16999.00","₹29990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010844033_437Wx649H_202110071547341.jpeg",0,0,0,"https://www.tatacliq.com/candes-101-cm-40-inches-android-smart-full-hd-led-tv-ctpl40e1s-2021-model-black/p-mp000000010844033","Resolution : 1920 x 1080 Pixels | Refresh Rate : 60 Hz","Display Feature: A+ Grade Panel | 178 Degree Wide Viewing Angle | HDR | Chroma Boost Picture Engine | Brightness: Upto 400nits","Speaker Output: 20 Watts Output | In-Built Surround Sound","Operating System: Android | Built-In Wi-Fi | Screen Mirroring | Miracast","CTPL40E1S",
"LG 127 cm (50 Inches) Smart Ultra HD 4K LED TV 50NANO80TPZ (2021 Model, Black)","LG","₹63990.00","₹99990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010542332_437Wx649H_202109091925091.jpeg",0,0,0,"https://www.tatacliq.com/lg-127-cm-50-inches-smart-ultra-hd-4k-led-tv-50nano80tpz-2021-model-black/p-mp000000010542332","Resolution : 3840 x 2160 Pixels | Refresh Rate : 60 Hz","Display Features: Real 4K NanoCell Display|Intelligent Quad Core Processor 4K|Active HDR|HDR 10 Pro|HLG|Wide Color Gamut|True Color Accuracy","Speaker Output: 20W|AI Sound|AI Acoustic Tuning|Clear Voice III|Bluetooth Audio Playback|TV Sound Mode Share","Operating System: LG webOS|LG AI ThinQ|Google Assistant|Amazon Alexa|Apple Airplay 2|Home Dashboard|LG Content Store|Sports Alert","50NANO80TPZ",
"Samsung 80 cm (32 Inches) Smart HD Ready TV UA32T4900AKXXL (2021 Model, Black)","Samsung","₹26798.00","₹28900.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010099825_437Wx649H_202107282129151.jpeg",4.67,3,1,"https://www.tatacliq.com/samsung-80-cm-32-inches-smart-hd-ready-tv-ua32t4900akxxl-2021-model-black/p-mp000000010099825","Resolution: 1366 x 768 Pixels","Display Feature : PurColor   HDR   Hyper Real Picture Engine","Sound Output : 40W   Dolby Digital Plus   Hole Array Speaker   Bluetooth Audio   Sound Mirroring","Operating System : Tizen   PC Mode   Smart Hub   Smart Browser   Samsung TV Plus   Bixby   Works with Google Assistant and Alexa","UA32T4900AKXXL","Screen Size: 41 inch"
