Date,sku_id,product_name_en,Tags,product_type,SP,Grofers MRP,Deal Share MRP,Amazon MRP,JioMart MRP,Grofers,Grofers : Link,Deal Share,Deal Share Link,AZ Fresh/ More,AZ Fresh/More Link,Jio,Jio Link,Grofers,Grofers : Link,Grofers,Grofers : Link,Grofers,Grofers : Link,Grofers,Grofers : Link,Grofers,Grofers : Link,DealSare,DealShare Link,Grofers,Grofers : link
12-01-2021,CM0049725,Dairy Radhe Pure Shudh Ghee 1 L,OPP / One in All varient,,,,,525,739,,,,,525,https://www.amazon.in/Mother-Dairy-Pure-Healthy-Ghee/dp/B07DD792X7/ref=sr_1_29?dchild=1&keywords=Dairy+Radhe+Pure+ghee&qid=1634813929&qsid=259-9051782-1050712&sr=8-29&sres=B07C7LR59W%2CB08TT6DCM7%2CB07M5LYJFR%2CB0757LK9JP%2CB07H8F1RDT%2CB07TMKSC3S%2CB0953TBSQS%2CB07H8GZG64%2CB07VPZN1WX%2CB07VLB3S58%2CB08JCP3L77%2CB08B7Z5DTN%2CB08JCV2Y88%2CB07V4X7N9F%2CB08CCCJX63%2CB07FP6Z9KR%2CB07GWPCCGX%2CB06WD8VM23%2CB01MYED6CZ%2CB07B48Y2D7&srpt=DAIRY_BASED_BUTTER,370,https://www.jiomart.com/p/groceries/heritage-ghee-1-l-carton/590829627,,,,,,,,,,,535,https://www.dealshare.in/product?dealId=Luc1386&deal=Anik+Ghee+-+1+ltr+%28Carton%29,,
12-01-2021,CM0018571,Haryana Cream Desi Ghee Danedar 1L,OPP / One in All varient,,,,185,390,739,OOS,https://grofers.com/prn/grocery-desi-ghee/prid/439969,154,https://www.dealshare.in/product?dealId=ncr6167&deal=Rath+Vanaspati++-+1+ltr,350,https://www.amazon.in/Haryana-Special-Cholesterol-1Ltr-Tetra/dp/B08L6MD8KC/ref=sr_1_fkmr3_1?dchild=1&keywords=Haryana+Cream+Desi+Ghee+Danedar+1L&qid=1634814069&qsid=259-9051782-1050712&sr=8-1-fkmr3&sres=B0917M5Q5Z%2CB07J63MH85%2CB09F9VN53Z%2CB09FFCZNPC%2CB08L6MD8KC%2CB08KW9522L%2CB08L6N8VPX%2CB0917LLG8Z%2CB08KL5CWFK%2CB07WC1ZGS1&srpt=DAIRY_BASED_BUTTER,370,https://www.jiomart.com/p/groceries/heritage-ghee-1-l-carton/590829627,,,,,,,,,,,535,https://www.dealshare.in/product?dealId=Luc1386&deal=Anik+Ghee+-+1+ltr+%28Carton%29,,
12-01-2021,CM0010244,Milkfood Rich Desi Ghee Danedar 1 L (Carton),Leader Pack,,,498,498,498,498,389,https://grofers.com/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898,450,"Buy,Milkfood,Rich,Desi,Ghee,1,L,(Carton),Online,-,DealShare",496,https://www.amazon.in/Milkfood-Rich-Desi-Ghee-1L/dp/B08BHVQMP9/ref=sr_1_3?dchild=1&keywords=Milkfood+Rich+Desi+Ghee+Danedar+1+L+%28Carton%29&qid=1634814177&qsid=259-9051782-1050712&sr=8-3&sres=B08BHVQMP9%2CB07D3CXH7H%2CB01J7K5COW%2CB07DD792X7%2CB01MYED6CZ%2CB08V9Y4Y25%2CB00TFEIXLA%2CB07JQTFM2V%2CB016OSXN78%2CB07WCTFG7N%2CB08CKRN8RP%2CB08BJ3TT4N%2CB083JCZS18%2CB07DKWPD2F%2CB06XHL1SS4%2CB093WDMXK7%2CB0781Z85N8%2CB08RP6TDQS%2CB07W65DQ5L%2CB084MJSH3D&srpt=DAIRY_BASED_BUTTER,389,https://www.jiomart.com/p/groceries/milkfood-pure-ghee-1-l-carton/490005399,389,https://grofers.com/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898,389,https://grofers.com/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898,399,https://grofers.com/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898,389,https://grofers.com/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898,OOS,https://grofers.com/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898,,,OOS,https://grofers.com/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898
12-01-2021,CM0014069,Amul Cow Ghee 1 L Tetra Pack,For price refrence,,,,500,500,500,,,500,"Buy,Amul,Cow,Ghee,-,1,ltr,(Tetra,Pack),Online,-,DealShare",450,https://www.amazon.in/Amul-Pure-Ghee-Tin-1L/dp/B06XHL1SS4/ref=sr_1_3?dchild=1&keywords=amul+cow+ghee+1l+tetra+pack&qid=1634545300&qsid=259-9051782-1050712&sr=8-3&sres=B07H3V7LNR%2CB06XHL1SS4%2CB00TFEIXLA%2CB0917KC84Q%2CB0917LLG8Z%2CB081Z6NF8Z%2CB08L6MD8KC%2CB08GKFPZP9%2CB0917LR4JC%2CB09JGLTL3S%2CB0917LJPZQ%2CB0917M5Q5Z%2CB09JGB3NVB%2CB07D3CXH7H%2CB07JQTFM2V%2CB01MYED6CZ%2CB06XHMQB98%2CB07DD792X7%2CB093YDYKB5%2CB0756Y49DT&srpt=DAIRY_BASED_BUTTER,475,Amul Cow Ghee 1 L (Tetra Pak) - JioMart,,,,,,,,,,,,,,
12-01-2021,CM0018870,Gagan Vanaspati Ghee 1L,For price refrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2021,CM0010432,Rath Vanaspati Ghee 1L,For price refrence,,,,185,135,165,,,154,https://www.dealshare.in/product?dealId=ncr6167&deal=Rath+Vanaspati++-+1+ltr,100,https://www.amazon.in/Rath-Vanaspati-1L/dp/B079GXGNH1/ref=sr_1_1?dchild=1&keywords=Rath+Vanaspati+Ghee+1L&qid=1634814332&qsid=259-9051782-1050712&sr=8-1&sres=B079GXGNH1%2CB08KFDG9G6%2CB08JQHFJWR%2CB0924467QP%2CB07DD792X7%2CB01MYED6CZ%2CB08V9Y4Y25%2CB075754F8H%2CB07H3V7LNR%2CB07D3CXH7H%2CB083JDV8Q9%2CB08W56FTHJ%2CB093BQ53HG%2CB0983FGSZ6%2CB01C46RJ56%2CB098B2WJCR%2CB095P39PL1%2CB0989XJV48%2CB098B3W2ZZ%2CB0915XVKHB&srpt=DAIRY_BASED_BUTTER,141,Rath Vanaspati 1 L - JioMart,,,,,,,,,,,,,,
12-01-2021,CM0010817,49 Kachi Ghani Mustard Oil 1 L,OPP,,,210,215,226,250,195,Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle) 1 l Price - Buy Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle) Online | grofers,212,https://www.dealshare.in/product?dealId=ncr4048&deal=Nature+Fresh+Kacchi+Ghani+Mustard+Oil+%28Bottle%29+-+1,190,https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B06XH9QPX2/ref=sr_1_1_sspa?crid=2P5PHCSR3HPNM&keywords=fortune+kachi+ghani+mustard+oil&qid=1636957319&sprefix=furtune+kachh%2Caps%2C323&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzVzU0RFI0VEUwTTRaJmVuY3J5cHRlZElkPUEwMjE0MTI5UUZVOEZCMDVPSEdPJmVuY3J5cHRlZEFkSWQ9QTAzMjcxMDUxRTdTTExVVkJPOVA4JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,189,Good Life Kachi Ghani Mustard Oil 1 L (Bottle) - JioMart,193,Nature Fresh Kachi Ghani Pure Mustard Oil (Bottle) 1 l Price - Buy Nature Fresh Kachi Ghani Pure Mustard Oil (Bottle) Online | grofers,189,Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle) 1 l Price - Buy Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle) Online | grofers,OOS,Emami Healthy & Tasty Kachi Ghani Mustard Oil (Bottle) 1 l Price - Buy Emami Healthy & Tasty Kachi Ghani Mustard Oil (Bottle) Online | grofers,189,Emami Healthy & Tasty Kachi Ghani Mustard Oil (Bottle) 1 l Price - Buy Emami Healthy & Tasty Kachi Ghani Mustard Oil (Bottle) Online | grofers,OOS,Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle) 1 l Price - Buy Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle) Online | grofers,190,https://www.dealshare.in/product?dealId=Luc1274&deal=Fortune+Kachi+Ghani+Pure+Mustard+Oil+%28Pouch%29+-+1+ltr,191,Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle) 1 l Price - Buy Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle) Online | grofers
12-01-2021,CM0010920,49 Kachi Ghani Mustard Oil 5 L,OPP,,,1075,875,,1250,962,https://grofers.com/prn/patanjali-kachi-ghani-pure-mustard-oil-jar/prid/117696,846,"Buy,Dhara,Kachi,Ghani,Mustard,Oil,-,5,ltr,Online,-,DealShare",,"Fortune Premium Kachi Ghani Pure Mustard Oil, 5 LTR Jar : Amazon.in: Grocery & Gourmet Foods",955,Good Life Kachi Ghani Mustard Oil 5 L - JioMart,947,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,947,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,OOS,https://grofers.com/prn/emami-healthy-tasty-kachi-ghani-mustard-oil-jar/prid/141349,977,https://grofers.com/prn/grofers-mothers-choice-kachi-ghani-mustard-oil-jar/prid/395372,OOS,https://grofers.com/prn/grofers-mothers-choice-kachi-ghani-mustard-oil-jar/prid/395372,984,"Buy,Bail,Kolhu,Kachi,Ghani,Oil,-,5,ltr,(Jar),Online,-,DealShare",964,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902
12-01-2021,CM009972,Fortune Kachi Ghani Mustard Oil 1L (Bottle),Leader Pack,,,239,234,239,234,195,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907,195,"Buy,Fortune,Kachi,Ghani,Mustard,Oil,Pet,Bottle,-,1,ltr,Online,-,DealShare",199,https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B0757631XR/ref=sr_1_3_0o_fs?almBrandId=ctnow&dchild=1&fpw=alm&keywords=fortune+kachi+ghani+mustard+oil+1l+bottle&qid=1634544182&qsid=259-9051782-1050712&sr=8-3&sres=B0757631XR%2CB079H96Y2T%2CB06XH9QPX2%2CB01GYE92HW%2CB071HWZCKJ%2CB0795V64VS%2CB08YK11QPY%2CB08V1JCGN5%2CB01DWA038S%2CB07WC3XR3X%2CB07216STDJ%2CB082NZQFWL%2CB08R3J16F3%2CB08K4NXTKG%2CB079GX9D9N%2CB08D32WV4M%2CB00NYZU698%2CB08FLJ9QGS%2CB091G547LG%2CB0992CN9WB&srpt=EDIBLE_OIL_VEGETABLE,195,Fortune Premium Kachi Ghani Pure Mustard Oil 1 L - JioMart,195,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907,195,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907,195,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907,195,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907,OOS,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907,203,https://www.dealshare.in/product?dealId=Luc1302&deal=Fortune+Kachi+Ghani+Mustard+Oil+Pet+Bottle+-+1+ltr,194,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907
12-01-2021,CM0010918,Fortune Kachi Ghani Mustard Oil 5L (Jar),Benchmarking,,,1178,1194,1118,1178,962,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,1012,https://www.dealshare.in/product?dealId=ncr4013&deal=Fortune+Kachi+Ghani+Mustard+Oil+-+5+ltr,1000,https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B0795V64VS/ref=sr_1_2_0o_fs?almBrandId=ctnow&dchild=1&fpw=alm&keywords=fortune+kachi+ghani+mustard+oil+5l+jar&qid=1634545136&qsid=259-9051782-1050712&sr=8-2&sres=B0795V64VS%2CB06XH9QPX2%2CB08D32WV4M%2CB08D3QS7N2%2CB079GXM1BF%2CB00N2WI082%2CB08D39XTRD%2CB0757631XR%2CB08HLWZDDR%2CB08YYZS4CX%2CB085XLJJDJ%2CB08KN3MBQ8%2CB07WC3XR3X%2CB08R7JN11B%2CB091XPD9J3%2CB08HD5QXL1%2CB079H96Y2T%2CB08R3J16F3%2CB095SS1DSX%2CB09795MW7Z&srpt=EDIBLE_OIL_VEGETABLE,999,Fortune Kachi Ghani Mustard Oil 5 L - JioMart,947,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,947,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,947,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,947,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,OOS,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,1020,https://www.dealshare.in/product?dealId=Luc1288&deal=Fortune+Kachi+Ghani+Mustard+Oil+-+5+ltr,964,https://grofers.com/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902
